,Feature 1 Name,Feature 2 Name,Correlation Type,r-Value,p-Value,Adjusted p-Value
52,Component 1,Gr3 Toxicities,IMAGE-CLINICAL,-0.17840128536561062,0.3455682575509616,0.8980496376191399
53,Component 2,Age,IMAGE-CLINICAL,-0.015812927399251678,0.9339026360975544,0.9796352088906035
54,Component 2,Gender,IMAGE-CLINICAL,-0.40827065802742274,0.025104586120690883,0.48894170111250335
55,Component 2,Lesions Contoured,IMAGE-CLINICAL,-0.4195450891844551,0.02100203775789949,0.48894170111250335
56,Component 2,Race,IMAGE-CLINICAL,0.08073420152664243,0.6714905675853439,0.9350535489155148
57,Component 2,Performance Status (ECOG),IMAGE-CLINICAL,0.22694239205029482,0.22781362858841656,0.8580882799559815
58,Component 2,Diagnosis,IMAGE-CLINICAL,0.11345085702607721,0.5505579180163073,0.9109128779726916
59,Component 2,Assigned Treatment Arm,IMAGE-CLINICAL,0.18388663045246406,0.33069251738772154,0.8980496376191399
60,Component 2,Best Response RECISTv1,IMAGE-CLINICAL,-0.18718137591884865,0.321948842156665,0.8980496376191399
61,Component 2,Gr1 Gr2 Toxicities,IMAGE-CLINICAL,-0.7444718676297187,2.393758312010557e-06,0.0011768950364486317
62,Component 2,Gr3 Toxicities,IMAGE-CLINICAL,0.03528928889273428,0.8531257324310088,0.966759100890587
63,Component 2,Component 1,IMAGE-IMAGE,0.12258064516129033,0.5187239738546685,0.9109128779726916
64,Component 3,Age,IMAGE-CLINICAL,0.10267266945147921,0.5892687183271855,0.9129200977114352
65,Component 3,Gender,IMAGE-CLINICAL,0.155539571504335,0.41179534968099535,0.9008379846616394
66,Component 3,Lesions Contoured,IMAGE-CLINICAL,-0.3116170023319556,0.09367832164436446,0.733935472901203
67,Component 3,Race,IMAGE-CLINICAL,-0.16071883724249145,0.3962020711920334,0.8980496376191399
68,Component 3,Performance Status (ECOG),IMAGE-CLINICAL,0.058377914013445636,0.7592820144841194,0.954620054737919
69,Component 3,Diagnosis,IMAGE-CLINICAL,0.13803489251707268,0.4669712571024321,0.9108686924080341
70,Component 3,Assigned Treatment Arm,IMAGE-CLINICAL,0.1722578917601288,0.3626986497147174,0.8980496376191399
71,Component 3,Best Response RECISTv1,IMAGE-CLINICAL,0.09033496048652763,0.6349770032506,0.9282439255559629
72,Component 3,Gr1 Gr2 Toxicities,IMAGE-CLINICAL,0.3291655107829786,0.0757034884852856,0.733935472901203
73,Component 3,Gr3 Toxicities,IMAGE-CLINICAL,0.18175436225694966,0.3364278117273046,0.8980496376191399
74,Component 3,Component 1,IMAGE-IMAGE,-0.3045606229143492,0.10175442834487507,0.7415048975868926
75,Component 3,Component 2,IMAGE-IMAGE,0.06785317018909899,0.7216411649334669,0.9494041481886163
76,Component 4,Age,IMAGE-CLINICAL,0.26369726817907024,0.1591243367243422,0.8088843157511305
77,Component 4,Gender,IMAGE-CLINICAL,0.38141729720058576,0.03755336274900024,0.6535883133762169
78,Component 4,Lesions Contoured,IMAGE-CLINICAL,0.0660186418534078,0.728882402276835,0.9494041481886163
79,Component 4,Race,IMAGE-CLINICAL,-0.28048924665674074,0.13326563497958807,0.7957028424328689
80,Component 4,Performance Status (ECOG),IMAGE-CLINICAL,0.06462048921825796,0.7344166136628332,0.9535758571050754
81,Component 4,Diagnosis,IMAGE-CLINICAL,0.33719205973796895,0.06842718779521458,0.733935472901203
82,Component 4,Assigned Treatment Arm,IMAGE-CLINICAL,0.11112539866080455,0.5588089893263835,0.9109128779726916
83,Component 4,Best Response RECISTv1,IMAGE-CLINICAL,0.08823349643988548,0.6429015694343152,0.9282439255559629
84,Component 4,Gr1 Gr2 Toxicities,IMAGE-CLINICAL,0.2730983140131257,0.14423917988571577,0.8081345831953117
85,Component 4,Gr3 Toxicities,IMAGE-CLINICAL,-0.04859018207678876,0.7987376433034662,0.954620054737919
86,Component 4,Component 1,IMAGE-IMAGE,-0.025583982202447165,0.8932470798379044,0.978285125563541
87,Component 4,Component 2,IMAGE-IMAGE,0.26585094549499444,0.1556211468429135,0.8088843157511305
88,Component 4,Component 3,IMAGE-IMAGE,-0.22091212458286985,0.24074183075197952,0.8791375783710681
89,Component 5,Age,IMAGE-CLINICAL,-0.07327398752610989,0.7003836357268924,0.9490321910589873
90,Component 5,Gender,IMAGE-CLINICAL,-0.32433026134514786,0.08036625699182375,0.733935472901203
91,Component 5,Lesions Contoured,IMAGE-CLINICAL,0.09193039548187844,0.6289868892575405,0.9277015520790266
92,Component 5,Race,IMAGE-CLINICAL,-0.4899066906712868,0.005995340185552875,0.3002204976215557
93,Component 5,Performance Status (ECOG),IMAGE-CLINICAL,0.12204489669873522,0.5205668706242229,0.9109128779726916
94,Component 5,Diagnosis,IMAGE-CLINICAL,-0.24283289397047286,0.19601452176036177,0.8248565078412803
95,Component 5,Assigned Treatment Arm,IMAGE-CLINICAL,0.10500469339537286,0.5807931894643261,0.912781926062092
96,Component 5,Best Response RECISTv1,IMAGE-CLINICAL,-0.14137922770517405,0.4561403699020999,0.9020207521965496
97,Component 5,Gr1 Gr2 Toxicities,IMAGE-CLINICAL,-0.05206218592089634,0.7846804162137226,0.954620054737919
98,Component 5,Gr3 Toxicities,IMAGE-CLINICAL,0.1060383007792349,0.5770539799765327,0.912781926062092
99,Component 5,Component 1,IMAGE-IMAGE,-0.00778642936596218,0.9674263421873237,0.9916726164276075
100,Component 5,Component 2,IMAGE-IMAGE,-0.23337041156840932,0.21455668755863272,0.8478616928645487
101,Component 5,Component 3,IMAGE-IMAGE,-0.034037819799777526,0.8582812680464642,0.9682813052737647
102,Component 5,Component 4,IMAGE-IMAGE,-0.18086763070077863,0.3388306028207365,0.8980496376191399
103,Component 6,Age,IMAGE-CLINICAL,0.46993347623128234,0.008785337270713182,0.311239093376242
104,Component 6,Gender,IMAGE-CLINICAL,0.04269455953288963,0.8227471131909938,0.954620054737919
105,Component 6,Lesions Contoured,IMAGE-CLINICAL,-0.034699217902473725,0.855555855510736,0.966759100890587
106,Component 6,Race,IMAGE-CLINICAL,0.06877330419569543,0.7180180346554262,0.9494041481886163
107,Component 6,Performance Status (ECOG),IMAGE-CLINICAL,0.46894051585307384,0.008948687882352284,0.311239093376242
108,Component 6,Diagnosis,IMAGE-CLINICAL,-0.1459277600356653,0.44162659008547467,0.9008379846616394
109,Component 6,Assigned Treatment Arm,IMAGE-CLINICAL,-0.30814601789840024,0.097587886564339,0.733935472901203
110,Component 6,Best Response RECISTv1,IMAGE-CLINICAL,-0.022737800478228126,0.9050667247467842,0.9796352088906035
111,Component 6,Gr1 Gr2 Toxicities,IMAGE-CLINICAL,0.13064584059760936,0.49137146712120006,0.9109128779726916
112,Component 6,Gr3 Toxicities,IMAGE-CLINICAL,0.25410203291959665,0.1754179431645362,0.819486410026126
113,Component 6,Component 1,IMAGE-IMAGE,0.16129032258064516,0.39450240707300055,0.8980496376191399
114,Component 6,Component 2,IMAGE-IMAGE,0.10344827586206896,0.5864438659169561,0.912781926062092
115,Component 6,Component 3,IMAGE-IMAGE,0.2511679644048943,0.180627012618926,0.8248565078412803
116,Component 6,Component 4,IMAGE-IMAGE,0.11813125695216908,0.5341252028753447,0.9109128779726916
117,Component 6,Component 5,IMAGE-IMAGE,-0.028253615127919914,0.8821808942086521,0.9748035097640929
118,Component 7,Age,IMAGE-CLINICAL,0.13207135137684853,0.4866143624484054,0.9109128779726916
119,Component 7,Gender,IMAGE-CLINICAL,-0.020658877477988155,0.9137128173088378,0.9796352088906035
120,Component 7,Lesions Contoured,IMAGE-CLINICAL,0.1385715520131256,0.46522421786097923,0.9104148569623948
121,Component 7,Race,IMAGE-CLINICAL,0.08080120290406954,0.6712330687747792,0.9350535489155148
122,Component 7,Performance Status (ECOG),IMAGE-CLINICAL,-0.24456598933979995,0.19274266944800247,0.8248565078412803
123,Component 7,Diagnosis,IMAGE-CLINICAL,0.10713185039766757,0.573109638522822,0.912781926062092
124,Component 7,Assigned Treatment Arm,IMAGE-CLINICAL,0.029354853167735243,0.8776222392832891,0.973974710449916
125,Component 7,Best Response RECISTv1,IMAGE-CLINICAL,-0.04073863342525326,0.8307483870860983,0.9552883548891256
126,Component 7,Gr1 Gr2 Toxicities,IMAGE-CLINICAL,-0.0140473889395471,0.9412691047423309,0.9801066420629726
127,Component 7,Gr3 Toxicities,IMAGE-CLINICAL,-0.09029582722229244,0.6351242166046162,0.9282439255559629
128,Component 7,Component 1,IMAGE-IMAGE,-0.1884315906562848,0.31866868599863063,0.8980496376191399
129,Component 7,Component 2,IMAGE-IMAGE,-0.1239154616240267,0.5141463019358128,0.9109128779726916
130,Component 7,Component 3,IMAGE-IMAGE,-0.15773081201334815,0.40515660753205807,0.9008379846616394
131,Component 7,Component 4,IMAGE-IMAGE,0.18131256952169075,0.33762364661788613,0.8980496376191399
132,Component 7,Component 5,IMAGE-IMAGE,0.05183537263626252,0.7855967503820678,0.954620054737919
133,Component 7,Component 6,IMAGE-IMAGE,-0.020689655172413793,0.9135847422192582,0.9796352088906035
134,Component 8,Age,IMAGE-CLINICAL,0.20111371044400375,0.2865705977804476,0.8980496376191399
135,Component 8,Gender,IMAGE-CLINICAL,0.10005883665360929,0.598831991711647,0.9176194697882257
136,Component 8,Lesions Contoured,IMAGE-CLINICAL,0.02208132048339237,0.9077958758715854,0.9796352088906035
137,Component 8,Race,IMAGE-CLINICAL,0.22426107862794842,0.23350306796233614,0.8642783239510903
138,Component 8,Performance Status (ECOG),IMAGE-CLINICAL,-0.14426599421559327,0.44689986228988077,0.9008379846616394
139,Component 8,Diagnosis,IMAGE-CLINICAL,0.125987251996176,0.5070807836364523,0.9109128779726916
140,Component 8,Assigned Treatment Arm,IMAGE-CLINICAL,0.05443169803389222,0.775124579053899,0.954620054737919
141,Component 8,Best Response RECISTv1,IMAGE-CLINICAL,-0.11908218182772061,0.5308154065950336,0.9109128779726916
142,Component 8,Gr1 Gr2 Toxicities,IMAGE-CLINICAL,0.015709551909768138,0.9343338146525659,0.9796352088906035
143,Component 8,Gr3 Toxicities,IMAGE-CLINICAL,0.10573282375336208,0.5781579661634757,0.912781926062092
144,Component 8,Component 1,IMAGE-IMAGE,-0.05183537263626252,0.7855967503820678,0.954620054737919
145,Component 8,Component 2,IMAGE-IMAGE,0.1621802002224694,0.3918641249582424,0.8980496376191399
146,Component 8,Component 3,IMAGE-IMAGE,0.03492769744160178,0.8546147402882804,0.966759100890587
147,Component 8,Component 4,IMAGE-IMAGE,0.16840934371523916,0.3736813316493395,0.8980496376191399
148,Component 8,Component 5,IMAGE-IMAGE,-0.35795328142380417,0.05211466879340194,0.733935472901203
149,Component 8,Component 6,IMAGE-IMAGE,0.12480533926585094,0.5111055955366677,0.9109128779726916
150,Component 8,Component 7,IMAGE-IMAGE,0.15550611790878754,0.4118971733664478,0.9008379846616394
151,Component 9,Age,IMAGE-CLINICAL,0.18307361017161805,0.33287225435032775,0.8980496376191399
152,Component 9,Gender,IMAGE-CLINICAL,0.11110452602428175,0.5588833048041639,0.9109128779726916
153,Component 9,Lesions Contoured,IMAGE-CLINICAL,-0.031995382741242,0.866707456886304,0.9685337428046402
154,Component 9,Race,IMAGE-CLINICAL,-0.10896763368104521,0.56651545342495,0.9109128779726916
155,Component 9,Performance Status (ECOG),IMAGE-CLINICAL,-0.10455127678790224,0.5824368592377192,0.912781926062092
156,Component 9,Diagnosis,IMAGE-CLINICAL,-0.16816491098358732,0.37438537729180676,0.8980496376191399
157,Component 9,Assigned Treatment Arm,IMAGE-CLINICAL,-0.46688619462350145,0.009294787665398999,0.311239093376242
158,Component 9,Best Response RECISTv1,IMAGE-CLINICAL,-0.10918719280926072,0.5657291004312156,0.9109128779726916
159,Component 9,Gr1 Gr2 Toxicities,IMAGE-CLINICAL,-0.08917249464471944,0.6393558172280468,0.9282439255559629
160,Component 9,Gr3 Toxicities,IMAGE-CLINICAL,0.19882446407455195,0.2922061119701083,0.8980496376191399
161,Component 9,Component 1,IMAGE-IMAGE,0.05761957730812013,0.7623192630766409,0.954620054737919
162,Component 9,Component 2,IMAGE-IMAGE,0.06740823136818688,0.7233952866667432,0.9494041481886163
163,Component 9,Component 3,IMAGE-IMAGE,-0.08654060066740822,0.64931354078183,0.9282439255559629
164,Component 9,Component 4,IMAGE-IMAGE,0.03759733036707453,0.8436332422166452,0.9614071582781754
165,Component 9,Component 5,IMAGE-IMAGE,-0.0046718576195773085,0.9804525192051992,0.9932344138814136
166,Component 9,Component 6,IMAGE-IMAGE,-0.15951056729699667,0.39980933421194187,0.8980496376191399
167,Component 9,Component 7,IMAGE-IMAGE,0.047385984427141266,0.8036278011377226,0.954620054737919
168,Component 9,Component 8,IMAGE-IMAGE,-0.1599555061179088,0.3984788134249605,0.8980496376191399
169,Component 10,Age,IMAGE-CLINICAL,-0.07216040108954287,0.704733067528216,0.9490321910589873
170,Component 10,Gender,IMAGE-CLINICAL,-0.021318751501071827,0.9109673555833455,0.9796352088906035
171,Component 10,Lesions Contoured,IMAGE-CLINICAL,0.06984907499848607,0.7137896606834093,0.9490321910589873
172,Component 10,Race,IMAGE-CLINICAL,0.003491807193862273,0.9853893485396746,0.9932344138814136
173,Component 10,Performance Status (ECOG),IMAGE-CLINICAL,-0.35284887611624527,0.055806724872943296,0.733935472901203
174,Component 10,Diagnosis,IMAGE-CLINICAL,0.02773089470240893,0.884346034292358,0.9749259515514136
175,Component 10,Assigned Treatment Arm,IMAGE-CLINICAL,-0.04665762438523502,0.8065891605267173,0.954620054737919
176,Component 10,Best Response RECISTv1,IMAGE-CLINICAL,-0.1849025023764925,0.3279812280378987,0.8980496376191399
177,Component 10,Gr1 Gr2 Toxicities,IMAGE-CLINICAL,-0.29793585393051,0.10980310738737514,0.7590360239861266
178,Component 10,Gr3 Toxicities,IMAGE-CLINICAL,-0.1277410621219359,0.501137616882696,0.9109128779726916
179,Component 10,Component 1,IMAGE-IMAGE,0.16173526140155728,0.3931819987987527,0.8980496376191399
180,Component 10,Component 2,IMAGE-IMAGE,-0.12080088987764183,0.5248583345204294,0.9109128779726916
181,Component 10,Component 3,IMAGE-IMAGE,0.08298109010011123,0.662875401950145,0.9332738017129409
182,Component 10,Component 4,IMAGE-IMAGE,0.07853170189098999,0.6799753297839526,0.9393360097508524
183,Component 10,Component 5,IMAGE-IMAGE,0.07452725250278086,0.6954997391980633,0.9490321910589873
184,Component 10,Component 6,IMAGE-IMAGE,0.10300333704115683,0.5880636614116412,0.912781926062092
185,Component 10,Component 7,IMAGE-IMAGE,0.015350389321468297,0.9358320204669301,0.9796352088906035
186,Component 10,Component 8,IMAGE-IMAGE,-0.01935483870967742,0.9191412148908162,0.9796352088906035
187,Component 10,Component 9,IMAGE-IMAGE,-0.13370411568409346,0.48119468175789226,0.9109128779726916
188,Microbiome_sdi_r,Age,MICROBIOME-CLINICAL,0.032516723947756974,0.8645552356025172,0.9685337428046402
189,Microbiome_sdi_r,Gender,MICROBIOME-CLINICAL,-0.19049385249601786,0.3133033658977427,0.8980496376191399
190,Microbiome_sdi_r,Lesions Contoured,MICROBIOME-CLINICAL,-0.14442986152912762,0.44637836336180836,0.9008379846616394
191,Microbiome_sdi_r,Race,MICROBIOME-CLINICAL,0.29118369997741994,0.11848640997332868,0.7598723344035173
192,Microbiome_sdi_r,Performance Status (ECOG),MICROBIOME-CLINICAL,-0.34021136359643434,0.06583530630559856,0.733935472901203
193,Microbiome_sdi_r,Diagnosis,MICROBIOME-CLINICAL,-0.06098033949522601,0.7488858394063195,0.954620054737919
194,Microbiome_sdi_r,Assigned Treatment Arm,MICROBIOME-CLINICAL,0.0805649534489124,0.6721411818610302,0.9350535489155148
195,Microbiome_sdi_r,Best Response RECISTv1,MICROBIOME-CLINICAL,-0.023182263818166404,0.9032195794111088,0.9796352088906035
196,Microbiome_sdi_r,Gr1 Gr2 Toxicities,MICROBIOME-CLINICAL,-0.09232218441065436,0.6275194089037905,0.9277015520790266
197,Microbiome_sdi_r,Gr3 Toxicities,MICROBIOME-CLINICAL,-0.015464902586680596,0.9353543178621363,0.9796352088906035
198,Microbiome_sdi_r,Component 1,MICROBIOME-IMAGE,-0.040711902113459396,0.8308578560214515,0.9552883548891256
199,Microbiome_sdi_r,Component 2,MICROBIOME-IMAGE,0.20222469410456062,0.2838608333344841,0.8938566070476145
200,Microbiome_sdi_r,Component 3,MICROBIOME-IMAGE,-0.1946607341490545,0.3026351885449699,0.8980496376191399
201,Microbiome_sdi_r,Component 4,MICROBIOME-IMAGE,0.020244716351501667,0.9154364690235781,0.9796352088906035
202,Microbiome_sdi_r,Component 5,MICROBIOME-IMAGE,-0.16885428253615126,0.3724017531717405,0.8980496376191399
203,Microbiome_sdi_r,Component 6,MICROBIOME-IMAGE,-0.3739710789766407,0.04176747382738223,0.6972610936897687
204,Microbiome_sdi_r,Component 7,MICROBIOME-IMAGE,0.11991101223581756,0.5279386219751125,0.9109128779726916
205,Microbiome_sdi_r,Component 8,MICROBIOME-IMAGE,0.07853170189098999,0.6799753297839526,0.9393360097508524
206,Microbiome_sdi_r,Component 9,MICROBIOME-IMAGE,0.11635150166852058,0.5403461755338033,0.9109128779726916
207,Microbiome_sdi_r,Component 10,MICROBIOME-IMAGE,-0.21245828698553948,0.2596736276130158,0.8915920952123118
208,Microbiome_RELA_s__Bacteroides_caccae,Age,MICROBIOME-CLINICAL,-0.057461060126858206,0.7629545865204101,0.954620054737919
209,Microbiome_RELA_s__Bacteroides_caccae,Gender,MICROBIOME-CLINICAL,0.2132537577805971,0.2578518679047573,0.8915920952123118
210,Microbiome_RELA_s__Bacteroides_caccae,Lesions Contoured,MICROBIOME-CLINICAL,-0.06962375540171675,0.7146746084258389,0.9490321910589873
211,Microbiome_RELA_s__Bacteroides_caccae,Race,MICROBIOME-CLINICAL,-0.18580860163702162,0.3255744523735927,0.8980496376191399
212,Microbiome_RELA_s__Bacteroides_caccae,Performance Status (ECOG),MICROBIOME-CLINICAL,0.10324493755194009,0.58718387448323,0.912781926062092
213,Microbiome_RELA_s__Bacteroides_caccae,Diagnosis,MICROBIOME-CLINICAL,0.004575865601230869,0.9808540849700219,0.9932344138814136
214,Microbiome_RELA_s__Bacteroides_caccae,Assigned Treatment Arm,MICROBIOME-CLINICAL,-0.2260330044411603,0.22973268130850846,0.8580882799559815
215,Microbiome_RELA_s__Bacteroides_caccae,Best Response RECISTv1,MICROBIOME-CLINICAL,0.053231402200300315,0.7799612384263483,0.954620054737919
216,Microbiome_RELA_s__Bacteroides_caccae,Gr1 Gr2 Toxicities,MICROBIOME-CLINICAL,0.14126007344402236,0.45652395037820476,0.9020207521965496
217,Microbiome_RELA_s__Bacteroides_caccae,Gr3 Toxicities,MICROBIOME-CLINICAL,0.03251631855192638,0.8645569088066165,0.9685337428046402
218,Microbiome_RELA_s__Bacteroides_caccae,Component 1,MICROBIOME-IMAGE,-0.09410456062291435,0.6208609916262413,0.9233896202732097
219,Microbiome_RELA_s__Bacteroides_caccae,Component 2,MICROBIOME-IMAGE,0.08520578420467186,0.6543866635171591,0.9301466847718697
220,Microbiome_RELA_s__Bacteroides_caccae,Component 3,MICROBIOME-IMAGE,0.33303670745272523,0.07212307847729266,0.733935472901203
221,Microbiome_RELA_s__Bacteroides_caccae,Component 4,MICROBIOME-IMAGE,0.08164627363737487,0.6679884442895885,0.9345917316033893
222,Microbiome_RELA_s__Bacteroides_caccae,Component 5,MICROBIOME-IMAGE,-0.009121245828698554,0.9618460173378265,0.9911915103443381
223,Microbiome_RELA_s__Bacteroides_caccae,Component 6,MICROBIOME-IMAGE,0.29744160177975526,0.11042211106888639,0.7590360239861266
224,Microbiome_RELA_s__Bacteroides_caccae,Component 7,MICROBIOME-IMAGE,0.1835372636262514,0.3316281105766702,0.8980496376191399
225,Microbiome_RELA_s__Bacteroides_caccae,Component 8,MICROBIOME-IMAGE,0.024249165739710785,0.8987876795986026,0.9796352088906035
226,Microbiome_RELA_s__Bacteroides_caccae,Component 9,MICROBIOME-IMAGE,0.15150166852057842,0.42418723934489977,0.9008379846616394
227,Microbiome_RELA_s__Bacteroides_caccae,Component 10,MICROBIOME-IMAGE,0.41357063403781974,0.023101171338303066,0.48894170111250335
228,Microbiome_RELA_s__Bacteroides_caccae,Microbiome_sdi_r,MICROBIOME-MICROBIOME,-0.6026696329254727,0.00042437118772126013,0.04959080450799869
229,Microbiome_RELA_s__Bacteroides_ovatus,Age,MICROBIOME-CLINICAL,0.1890667254250349,0.3170102523000119,0.8980496376191399
230,Microbiome_RELA_s__Bacteroides_ovatus,Gender,MICROBIOME-CLINICAL,0.1183628673873163,0.5333181514065694,0.9109128779726916
231,Microbiome_RELA_s__Bacteroides_ovatus,Lesions Contoured,MICROBIOME-CLINICAL,-0.24307972544080453,0.19554620326132963,0.8248565078412803
232,Microbiome_RELA_s__Bacteroides_ovatus,Race,MICROBIOME-CLINICAL,-0.2348676175932361,0.2115460215543032,0.8470506645498574
233,Microbiome_RELA_s__Bacteroides_ovatus,Performance Status (ECOG),MICROBIOME-CLINICAL,0.050073852995819554,0.7927228297022324,0.954620054737919
234,Microbiome_RELA_s__Bacteroides_ovatus,Diagnosis,MICROBIOME-CLINICAL,0.3447189405071092,0.06210888066066259,0.733935472901203
235,Microbiome_RELA_s__Bacteroides_ovatus,Assigned Treatment Arm,MICROBIOME-CLINICAL,0.02804538986493578,0.8830432771823873,0.9748035097640929
236,Microbiome_RELA_s__Bacteroides_ovatus,Best Response RECISTv1,MICROBIOME-CLINICAL,-0.16593980349102938,0.3808299939407857,0.8980496376191399
